,message,created_time
256,Absolutely right not to forget. Its a shame though the victims of the Kamir Rouge and the attrocities during the 2nd world war of the Japanese et al dont get the same respect. 🤔,2023-01-27T14:33:01+0000
258,It's all just words. There are have been so many years of a lack of investment and neglect. We are in catch up mode. Ask anyone in the profession they will give you and accurate representation of the current situation. I think you will find there is a lot of concern about what the future holds. Check out Question Time Last week..embarrassing 😡,2023-01-23T19:29:26+0000
269,What utter bullshit... I deal with folks with MH needs daily... And currently have a few complaints waiting... Due to negligence in your NHS units... And two inquests to attend of young men under 30.. Who would still be here if professionals had stuck to protocols!! 😡,2023-01-30T04:14:41+0000
279,Do you have to be a Tory voter😀,2023-01-23T19:57:58+0000
287,As a lifelong Conservative and still a paid up member I can assure you that in my opinion there are absolutely no Brexit benefits. Also the Party has split into factions and those in groups such as the ERG are extremely dangerous. In Richi Sunak we have a good Leader now but the Party is currently beyond repair😩,2023-01-23T15:14:20+0000
293,These benefits - are they going to be kept a secret for much longer cos people are getting curious 😂,2023-01-23T13:55:51+0000
304,"Take full advantage of workers more like. Workers protections down the drain, and now you can exploit them harder... Yay 😕",2023-01-23T18:32:32+0000
312,A very happy Chinese New Year 🙏💖,2023-01-22T14:37:18+0000
332,New year was the 1st of January the Chinese need to keep up 🤣🤣,2023-01-22T09:24:01+0000
336,"Goodness, that’s almost as much as Liz Truss’ ill fated premiership cost the country. Very selective memory 🙈",2023-01-20T12:40:05+0000
360,"You have got to be joking under the Conservatives everything is costing more, peoples mortgages, energy, food etc etc. blame Liz Truss for some of that.  Get real and stop treating us like idiots 😡",2023-01-20T16:44:17+0000
372,"I partly understand the government opposition to putting cash into Britvolt, however even a 50 % investment would only be approx half of the £5B lost through fraudulent covid business grants 🤔",2023-01-19T10:20:16+0000
389,"People need to stand back and think. A tremendous amount of money borrowed to help people and get us through COVID this has to be paid back. The country doesn’t have a bottomless pot of money. Do these strikers think they are the only ones finding life difficult at the moment. What would happen if shop workers all decided to walk out!!! Unions could bring this country to its knees, and I think that is what Labour want 😡😡😡",2023-01-19T06:47:30+0000
404,"This is terrible spin doctoring. By your leader.  It’s not about paymasters; he’s a fine one to shout that out on money he’s got! No, it’s about people having the right to a fair wage and reasonable standard of life, just like an MP! I really am disliking this man more on daily basis 🤬",2023-01-19T05:40:05+0000
